ICAO,REF,NAME,TYPE,ID,LAT,LON,GEOM_ALT
EGLL,ARP,Aerodr. Ref,ARP,ARP,51.4706,-0.461941,83
EGLL,09L,RWY 09L/27R,THR,R1,51.4775,-0.485,79
EGLL,27R,RWY 09L/27R,THR,R1,51.477667,-0.433333,78
EGLL,09R,RWY 09R/27L,THR,R2,51.464833,-0.482333,75
EGLL,27L,RWY 09R/27L,THR,R2,51.465,-0.434,77
LFPG,ARP,Aerodr. Ref,ARP,ARP,49.00983333,2.547833333,392
LFPG,08L,RWY 08L/26R,THR,R1,48.99566666,2.552666666,338
LFPG,26R,RWY 08L/26R,THR,R1,48.99833333,2.602,318
LFPG,09R,RWY 09R/27L,THR,R2,49.02066666,2.513,370
LFPG,27L,RWY 09R/27L,THR,R2,49.02333333,2.562166666,386
LFPG,08R,RWY 08R/26L,THR,R3,48.99283333,2.565666666,336
LFPG,26L,RWY 08R/26L,THR,R3,48.99483333,2.6025,316
LFPG,09L,RWY 09L/27R,THR,R4,49.02466666,2.524833333,378
LFPG,27R,RWY 09L/27R,THR,R4,49.02666666,2.561666666,392
EHAM,ARP,Aerodr. Ref,ARP,ARP,52.30805555,4.764166666,-11
EHAM,18R,RWY 18R/36L,THR,R1,52.36033333,4.711725,-13
EHAM,36L,RWY 18R/36L,THR,R1,52.3285,4.708833333,-12
EHAM,06,RWY 06/24,THR,R2,52.28916666,4.737333333,-11
EHAM,24,RWY 06/24,THR,R2,52.3045,4.7775,-12
EHAM,09,RWY 09/27,THR,R3,52.31666666,4.747666666,-12
EHAM,27,RWY 09/27,THR,R3,52.31833333,4.796833333,-12
EHAM,18L,RWY 18L/36R,THR,R4,52.31616666,4.779666666,-12
EHAM,36R,RWY 18L/36R,THR,R4,52.29083333,4.777333333,-11
EHAM,18C,RWY 18C/36C,THR,R5,52.33133333,4.74,-12
EHAM,36C,RWY 18C/36C,THR,R5,52.30583333,4.737666666,-12
EHAM,04,RWY 04/22,THR,R6,52.30033333,4.7835,-13
EHAM,22,RWY 04/22,THR,R6,52.314,4.803,-14
LSZH,ARP,Aerodr. Ref,ARP,ARP,47.458,8.548,1417
LSZH,16,RWY 16/34,THR,R1,47.47566666,8.536,1390
LSZH,34,RWY 16/34,THR,R1,47.44833333,8.554166666,1388
LSZH,14,RWY 14/32,THR,R2,47.48216666,8.536,1402
LSZH,32,RWY 14/32,THR,R2,47.461333333,8.5645,1402
LSZH,10,RWY 10/28,THR,R3,47.459,8.5375,1391
LSZH,28,RWY 10/28,THR,R3,47.456666666,8.5705,1461
EDDM,ARP,Aerodr. Ref,ARP, ARP, 48.353833, 11.786166,1487
EDDM,08L,RWY 08L/26R, THR, R1, 48.362833, 11.7675,1467
EDDM,26R,RWY 08L/26R,THR,R1,48.366833,11.821166,1449
EDDM,08R,RWY 08R/26L,THR,R2,48.340667,11.751, 1486
EDDM,26L,RWY 08R/26L,THR,R2,48.344833,11.804667, 1470
EDDF,ARP,Aerodr. Ref,ARP,ARP,50.033333,8.566667,364
EDDF,07R,RWY 07R/25L,THR,R1,50.0275,8.534167,328
EDDF,25L,RWY 07R/25L,THR,R1,50.04,8.5865,362
EDDF,07C,RWY 07C/25C,THR,R2,50.032667,8.534667,329
EDDF,25C,RWY 07C/25C,THR,R2,50.045167,8.587,364
EDDF,07L,RWY 07L/25R,THR,R3,50.037, 8.497,305
EDDF,25R,RWY 07L/25R,THR,R3,50.045833,8.533667,353
EDDF,18,RWY 18/36,THR, R4,50.034167, 8.526, 326
EDDF,36,RWY 18/36,THR, R4,49.998333, 8.526667,316
