FID,gid,geom,id,ciad,localidade_id,nome,tipo,efetivacao,fir,jurisdicao,latitude_dec,longitude_dec,latitude,longitude,elevacao,elev_uom,tipo_util,cat_sigla,opr,wh,cidade,uf,utc,emenda_n,emenda,airport_pk
airport.120,120,MULTIPOINT ((-47.585833333333 -20.876944444444)),8788b279-07d6-400e-b84c-ccdb2c7ccf58,SP0063,SDBA,Batatais,AD,2023-02-16,SBBS,CINDACTA 1,-20.87694444,-47.58583333, 20 52 37S, 047 35 09W,881,M,PUB,NAC,VFR DIURNA,HJ,Batatais,SP,-3,7/23,2023-03-23,140
airport.2333,2333,MULTIPOINT ((-47.809444444444 -15.854444444444)),d1b4a488-5428-4400-b14c-921768730afa,DF0007,SSGP,Piquet,AD,2020-05-07,SBBS,CINDACTA 1,-15.85444444,-47.80944444,15 51 16S,047 48 34W,1088,M,PRIV,NAC,VFR,,Brasília,DF,-3,19/20,2023-03-23,1971
airport.606,606,MULTIPOINT ((-54.591666666667 -22.787222222222)),7e6f27b1-e696-446d-8704-ef94daf75777,MS0183,SJSA,Fazenda Aimoré,AD,2022-08-31,SBCW,CINDACTA 2,-22.78722222,-54.59166667,22 47 14S,054 35 30W,372,M,PRIV,NAC,VFR DIURNA,HJ,Juti,MS,-4,35/22,2023-03-23,1511
airport.4762,4762,MULTIPOINT ((-63.729722222222 2.497777777778)),36ddb554-fac4-4a67-ae23-f05c1e285df4,RR0049,SJLF,Homoxi,AD,2018-07-19,SBAZ,CINDACTA 4,2.49777778,-63.72972222,02 29 52N,063 43 47W,696,M,PRIV,NAC,VFR DIURNA,HJ,Iracema,RR,-4,29/18,2023-03-23,1405
airport.4385,4385,MULTIPOINT ((-53.3525 -21.241388888889)),08229db4-ae0a-4e83-8b56-deff09926be5,MS0043,SDPZ,Sossego,AD,2018-07-19,SBCW,CINDACTA 2,-21.24138889,-53.3525,21 14 29S,053 21 09W,363,M,PRIV,NAC,VFR DIURNA,HJ,Ribas do Rio Pardo,MS,-4,29/18,2023-03-23,850
airport.2226,2226,MULTIPOINT ((-56.548611111111 -29.190833333333)),06319001-d5cb-4af8-827f-09d1d19bfd59,RS0070,SIVZ,Mata-Fome,AD,2020-07-23,SBCW,CINDACTA 2,-29.19083333,-56.54861111,29 11 27S,056 32 55W,67,M,PRIV,NAC,VFR DIURNA,HJ,Itaqui,RS,-3,30/20,2023-03-23,1206
airport.4247,4247,MULTIPOINT ((-52.04 -13.255)),6fd0f13c-42df-4195-9c3a-840979d5fb36,MT0328,SWBJ,Fazenda Itarema,AD,2018-07-19,SBBS,CINDACTA 1,-13.255,-52.04,13 15 18S,052 02 24W,408,M,PRIV,NAC,VFR DIURNA,HJ,Canarana,MT,-4,29/18,2023-03-23,2204
airport.3785,3785,MULTIPOINT ((-58.893888888889 -13.943888888889)),e3e88181-a80a-43f0-9fbe-6eae38cd03e3,MT0375,SWOT,Fazenda Planorte,AD,2018-07-19,SBAZ,CINDACTA 4,-13.94388889,-58.89388889,13 56 38S,058 53 38W,647,M,PRIV,NAC,VFR DIURNA,HJ,Sapezal,MT,-4,29/18,2023-03-23,2369
airport.3408,3408,MULTIPOINT ((-55.055833333333 -23.885277777778)),d8999b40-906b-406f-b393-5102b0f30f41,MS0024,SDBI,Fazenda Piray,AD,2018-07-19,SBCW,CINDACTA 2,-23.88527778,-55.05583333,23 53 07S,055 03 21W,354,M,PRIV,NAC,VFR DIURNA,HJ,Sete Quedas,MS,-4,29/18,2023-03-23,3825
airport.1457,1457,MULTIPOINT ((-55.99 -15.643611111111)),700534a0-5503-45ee-9d31-f1edd57bbc98,MT0149,SIXM,Cifi,AD,2021-08-12,SBAZ,CINDACTA 4,-15.64361111,-55.99,15 38 37S,055 59 24W,206,M,PRIV,NAC,VFR DIURNA,HJ,Cuiabá,MT,-4,33/20,2023-03-23,4059
airport.4421,4421,MULTIPOINT ((-39.068611111111 -11.155)),1557fa7b-aa47-45d7-95a5-6365dd10c7e9,BA0170,SSXS,Sidel,AD,2018-07-19,SBRE,CINDACTA 3,-11.155,-39.06861111,11 09 18S,039 04 07W,304,M,PRIV,NAC,VFR DIURNA,HJ,Araci,BA,-3,29/18,2023-03-23,5327
airport.3270,3270,MULTIPOINT ((-35.218611111111 -5.738055555556)),007da037-4320-423f-9052-398333aada8e,RN0010,SSAZ,Stratus Ale,AD,2018-07-19,SBRE,CINDACTA 3,-5.73805556,-35.21861111,05 44 17S,035 13 07W,5,M,PRIV,NAC,VFR DIURNA,HJ,Natal,RN,-3,29/18,2023-03-23,5677
airport.2782,2782,MULTIPOINT ((-58.001666666667 -12.099444444444)),8c9f1e36-d4b8-4f88-98d0-3f12ec17b902,MT0044,SDNB,Brasnorte,AD,2018-10-18,SBAZ,CINDACTA 4,-12.09944444,-58.00166667, 12 05 58S, 058 00 06W,323,M,PRIV,NAC,VFR DIURNA,HJ,Brasnorte,MT,-4,42/18,2023-03-23,5955
airport.2370,2370,MULTIPOINT ((-45.964722222222 -11.788333333333)),05387946-7371-463e-95f1-78618b5a6a76,BA0115,SJJL,Fazenda Campo Aberto,AD,2020-02-27,SBRE,CINDACTA 3,-11.78833333,-45.96472222,11 47 18S,045 57 53W,737,M,PRIV,NAC,VFR DIURNA,HJ,Barreiras,BA,-3,9/20,2023-03-23,1376
airport.587,587,MULTIPOINT ((-35.530833333333 -5.381944444444)),aaea759b-585d-4914-ba5e-6a550cf4d2fd,RN9002,SNXX,Maxaranguape,AD,2022-09-01,SBRE,CINDACTA 3,-5.38194444,-35.53083333, 05 22 55S, 035 31 51W,92.93,M,MIL,NAC,IFR DIURNA,H24,Maxaranguape,RN,-3,36/22,2023-03-23,3617
airport.1959,1959,MULTIPOINT ((-57.278333333333 -16.18)),d6f13956-5c6e-4c95-8a4f-733bb7f73eee,MT0606,SBOZ,Fazenda Arizona,AD,2020-11-19,SBAZ,CINDACTA 4,-16.18,-57.27833333, 16 10 48S, 057 16 42W,152,M,PRIV,NAC,VFR DIURNA,HJ,Cáceres,MT,-4,47/20,2023-03-23,6475
airport.1907,1907,MULTIPOINT ((-41.769166666667 -4.334444444444)),6f418810-eb1f-400a-8616-082f6a31991e,PI0068,SWAY,Piripiri,AD,2020-12-17,SBRE,CINDACTA 3,-4.33444444,-41.76916667, 04 20 04S, 041 46 09W,171,M,PRIV,NAC,VFR DIURNA,H24,Piripiri,PI,-3,51/20,2023-03-23,6532
airport.1436,1436,MULTIPOINT ((-47.641388888889 -14.883888888889)),a0d2ecde-a9bc-4116-b11d-e00a0a3ef7bf,GO0236,SD72,Fazenda São João do Monge,AD,2021-09-02,SBBS,CINDACTA 1,-14.88388889,-47.64138889, 14 53 02S, 047 38 29W,1099,M,PRIV,NAC,VFR DIURNA,HJ,Água Fria de Goiás,GO,-3,36/21,2023-03-23,6649
airport.1669,1669,MULTIPOINT ((-49.195555555556 -14.878055555556)),1cac5748-4150-4473-ad5e-2129fe89d053,GO0262,SSYA,Fazenda Tropical ,AD,2021-04-01,SBBS,CINDACTA 1,-14.87805556,-49.19555556, 14 52 41S, 049 11 44W,565,M,PRIV,NAC,VFR DIURNA,H24,São Luiz do Norte,GO,-3,14/21,2023-03-23,6610
airport.4585,4585,MULTIPOINT ((-47.516388888889 -3.739166666667)),ae8896c1-47a9-4378-bce1-099547f3d957,PA0041,SIAW,Sítio Gurupi,AD,2018-07-19,SBAZ,CINDACTA 4,-3.73916667,-47.51638889,03 44 21S,047 30 59W,128,M,PRIV,NAC,VFR DIURNA,HJ,Ulianópolis,PA,-3,29/18,2023-03-23,3659
airport.1400,1400,MULTIPOINT ((-53.761666666667 -14.500833333333)),e9fc2c7d-9943-4e08-b6cd-bf387b2a8970,MT0770,SDH6,Giongo Participações - Fazenda Victória,AD,2021-09-23,SBAZ,CINDACTA 4,-14.50083333,-53.76166667, 14 30 03S, 053 45 42W,528,M,PRIV,NAC,VFR DIURNA,HJ,Paranatinga,MT,-4,39/21,2023-03-23,6845
airport.1250,1250,MULTIPOINT ((-52.734722222222 -14.901666666667)),60ef666d-4b81-458f-b960-393a29b93464,MT0351,SWIH,Fazenda Felicidade,AD,2021-12-16,SBBS,CINDACTA 1,-14.90166667,-52.73472222, 14 54 06S, 052 44 05W,413,M,PRIV,NAC,VFR DIURNA,HJ,Novo São Joaquim,MT,-4,51/21,2023-03-23,3747
airport.26,26,MULTIPOINT ((-40.9375 -9.1575)),5f3b25c1-9710-4558-8928-5d5b91c042cd,BA0054,SDFX,Casa Nova,AD,2023-03-16,SBRE,CINDACTA 3,-9.1575,-40.9375, 09 09 27S, 040 56 15W,405,M,PUB,NAC,VFR DIURNA,HJ,Casa Nova,BA,-3,11/23,2023-03-23,153
airport.1103,1103,MULTIPOINT ((-40.948611111111 -18.771944444444)),6952502a-2faa-4f74-a7b0-4e9adef69772,MG0207,SWWM,Mantena,AD,2022-02-17,SBRE,CINDACTA 3,-18.77194444,-40.94861111, 18 46 19S, 040 56 55W,202,M,PRIV,NAC,VFR DIURNA,HJ,Mantena,MG,-3,8/22,2023-03-23,2471
airport.1090,1090,MULTIPOINT ((-55.822777777778 -21.290555555556)),211cf1a0-b2f0-4865-8fdd-68e49fa58779,MS0207,SNHK,Fazenda Caacupê,AD,2022-02-17,SBCW,CINDACTA 2,-21.29055556,-55.82277778, 21 17 26S, 055 49 22W,314,M,PRIV,NAC,VFR DIURNA,HJ,Nioaque,MS,-4,8/22,2023-03-23,4948
airport.1099,1099,MULTIPOINT ((-46.51 -15.842777777778)),0eae41cf-8e3b-4e1e-8adb-861e1b774b6b,MG0509,SI2A,Canduá II,AD,2022-02-17,SBBS,CINDACTA 1,-15.84277778,-46.51, 15 50 34S, 046 30 36W,922,M,PRIV,NAC,VFR DIURNA,HJ,Unaí,MG,-3,8/22,2023-03-23,7024
airport.1012,1012,MULTIPOINT ((-57.593888888889 -11.800277777778)),27967ecc-de0e-451e-84d3-f50d0c1dd4e7,MT0756,SJ4U,Fazenda Juara,AD,2022-03-17,SBAZ,CINDACTA 4,-11.80027778,-57.59388889, 11 48 01S, 057 35 38W,330,M,PRIV,NAC,VFR DIURNA,HJ,Juara,MT,-4,12/22,2023-03-23,7072
airport.1004,1004,MULTIPOINT ((-40.277222222222 -15.244444444444)),3ba948be-6815-4d8c-8206-db7aa0a6c0f4,BA0057,SNIP,Itapetinga,AD,2022-03-24,SBRE,CINDACTA 3,-15.24444444,-40.27722222, 15 14 40S, 040 16 38W,270,M,PUB,NAC,VFR DIURNA,HJ,Itapetinga,BA,-3,13/22,2023-03-23,323
airport.995,995,MULTIPOINT ((-45.291944444444 -18.468611111111)),bfe86d54-fa0d-419f-8977-30b09ab9a115,MG0541,SJ4X,Fazenda Caiçara,AD,2022-03-24,SBBS,CINDACTA 1,-18.46861111,-45.29194444, 18 28 07S, 045 17 31W,605,M,PRIV,NAC,VFR DIURNA,HJ,Três Marias,MG,-3,13/22,2023-03-23,7080
airport.975,975,MULTIPOINT ((-52.499722222222 -11.384166666667)),a37ea271-c1a2-42a5-b3f1-36618c2b69e3,MT0784,SI44,Fazenda Três Rodas da Barra,AD,2022-03-24,SBAZ,CINDACTA 4,-11.38416667,-52.49972222, 11 23 03S, 052 29 59W,324,M,PRIV,NAC,VFR DIURNA,HJ,São Félix do Araguaia,MT,-4,13/22,2023-03-23,7087
airport.835,835,MULTIPOINT ((-50.372222222222 -30.033611111111)),4725e01a-6b96-4ee0-a5d7-26b34b617bb2,RS0062,SIID,Fazenda Dona Chica,AD,2022-06-16,SBCW,CINDACTA 2,-30.03361111,-50.37222222, 30 02 01S, 050 22 20W,8,M,PRIV,NAC,VFR DIURNA,HJ,Osório,RS,-3,25/22,2023-03-23,5557
airport.929,929,MULTIPOINT ((-47.556111111111 -20.143888888889)),8044036f-5073-45b1-ba70-db55521d78a6,SP1368,SI46,Fazenda Primavera,AD,2022-04-07,SBBS,CINDACTA 1,-20.14388889,-47.55611111, 20 08 38S, 047 33 22W,920,M,PRIV,NAC,VFR DIURNA,HJ,Pedregulho,SP,-3,15/22,2023-03-23,7094
airport.930,930,MULTIPOINT ((-58.639444444444 -11.283333333333)),c5fd42cb-ee73-4226-9a9f-afdbb31fe89d,MT0776,SI4F,Solag Aviação Agrícola,AD,2022-04-07,SBAZ,CINDACTA 4,-11.28333333,-58.63944444, 11 17 00S, 058 38 22W,394,M,PRIV,NAC,VFR DIURNA,HJ,Juína,MT,-4,15/22,2023-03-23,7095
