FID,gid,runway_pk,effectived,airport_pk,ident,runwayleng,width,codecondsf,surface,rwydesc,rwystrengt,descrstren,lenstrip,widstrip,lenoffset,widoffset,codests,txtprofile,txtmarking,txtrmk,txtrmk_lcl,rwydesc_lc,txtprofil1,txtmarkin1,valcrc,auwweight,codepcnmax,lcnclass,pcnclass,pcnevalmet,pcnnote,pcnpavemen,pcnpaveme1,preparatio,siwltirepr,siwlweight,uomauwweig,uomsiwltir,uomsiwlwei,valpcnmaxt,lengthoffs,lengthstri,nominallen,lengthaccu,widthoffse,widthstrip,nominalwid,widthaccur,type,abandoned,widthshoul,widthshou1,light_desc,bltype,lengthacc1,widthaccu1,codenumber,geom,emenda,emenda_futura
runway_v2.2732,2732,43,2011-12-15,34,18/36,2100,45,,ASPH,,PCN,,2220,300,,,,,,,,,,,,,X,,54,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-47.776228678884884 -21.12674430696806, -47.77124810224465 -21.14229708507525, -47.771663009918115 -21.142414026670167, -47.77664354327774 -21.12686124877757, -47.776228678884884 -21.12674430696806))",2022-12-29,2023-01-26
runway_v2.2761,2761,74,2013-01-01,59,07/25,1598,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,20,TECH,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-52.39484935069761 -15.86582806972675, -52.383252124736806 -15.85671973663837, -52.38307565317166 -15.856930263324658, -52.3946728712108 -15.86603859623625, -52.39484935069761 -15.86582806972675))",2022-12-29,2023-01-26
runway_v2.2733,2733,63,2018-07-19,49,17/35,1800,30,,ASPH,,PCN,,1920,150,,,,,,,,,,,,,X,,40,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-48.13763471070437 -21.80490689755703, -48.12848747676087 -21.81881800867632, -48.12873474536087 -21.81895976923047, -48.13788195541728 -21.80504865834983, -48.13763471070437 -21.80490689755703))",2022-12-29,2023-01-26
runway_v2.2734,2734,65,2012-01-20,51,05/23,2120,35,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,26,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-50.42959232092911 -21.14981591867129, -50.41981174925509 -21.13301036252112, -50.41951602859466 -21.13316185934912, -50.42929656692049 -21.14996741519884, -50.42959232092911 -21.14981591867129))",2022-12-29,2023-01-26
runway_v2.2735,2735,70,2014-07-24,55,16/34,1200,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,16,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-46.54040884005587 -22.974337814715128, -46.53359494334376 -22.98314892580272, -46.533832834794296 -22.98330663010722, -46.540646716082115 -22.974495519194846, -46.54040884005587 -22.974337814715128))",2022-12-29,2023-01-26
runway_v2.2736,2736,71,2013-01-01,56,18/36,1760,30,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,14,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,L14,,,,,"POLYGON ((-43.76330121148819 -21.25989490859109, -43.75814286440545 -21.27503935366505, -43.75841824767121 -21.27512175822221, -43.76357656658839 -21.25997731329625, -43.76330121148819 -21.25989490859109))",2022-12-29,2023-01-26
runway_v2.2737,2737,73,2018-04-26,58,14/32,1501,35,,ASPH,,PCN,,1621,150,,,,,,,,,,,,,X,,13,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,M,,"POLYGON ((-49.05817445676328 -22.3421367152688, -49.04753278555542 -22.34853393837355, -49.04771721461921 -22.34879939557177, -49.05835887741129 -22.34240217267653, -49.05817445676328 -22.3421367152688))",2022-12-29,2023-01-26
runway_v2.2738,2738,76,2013-01-01,61,02/20,1625,30,,ASPH,,PCN,,,,,,,,,,,,,,,,X,,25,TECH,,A,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14,15",,,,,"POLYGON ((-50.941144485441136 -26.79665262058406, -50.939455578332705 -26.782122064555278, -50.93915553363035 -26.78215015728582, -50.94084440252189 -26.79668071325694, -50.941144485441136 -26.79665262058406))",2022-12-29,2023-01-26
runway_v2.2739,2739,78,2013-01-01,63,11/29,1800,45,,ASPH,,PCN,,,,,,,,,,,,,,,,Y,,18,,,C,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-47.466838217096026 -7.32093884479637, -47.45058821705051 -7.31966106678489, -47.45055622693503 -7.32006671121272, -47.466806226889496 -7.32134448920124, -47.466838217096026 -7.32093884479637))",2022-12-29,2023-01-26
runway_v2.2740,2740,79,2016-05-26,64,10/28,2000,45,,ASPH,,PCN,,2120,300,,,,,,,,,,,,,X,,41,TECH,,B,FLEXIBLE,,,,,,,,,M,M,,,M,M,,RWY,,,,"L14, 15",,,,,"POLYGON ((-50.01244897531353 -6.118736849264249, -49.99450730821849 -6.116603516248239, -49.994459357763496 -6.11700759574917, -50.01240102466845 -6.1191409287331595, -50.01244897531353 -6.118736849264249))",2022-12-29,2023-01-26
