FID,fid,gid,geom,rwydirecti,effectived,runway_pk,rwyendid,truebrg,truebrgsrc,magbrg,threshlat,threshlon,codedatum,valgeoaccu,uomgeoaccu,elevaccura,geoidundul,uomdistver,valcrc,verdatum,gradient,tdzelevloc,tdzelev,threshelev,elevtdzacc,tch,vasis,vasisangle,durtax,descrpsnva,meht,uommeht,descrarstd,descrrvr,vfrpattern,txtrmk,uomtch,descrpsnv1,txtrmk_lcl,codeportab,codepsnvas,noboxvasis,elevtdzac1,elevationt,truebearin,slopetdz,apprmarkin,apprmarki1,classlight,precapproc,rwyelement,rmk_light_,rmk_light1,light_desc,gradientrm,bltype,geoiduom,vertaccuom,originalla,originallo,originalsr,originalel,originale1,geoidrefsy,emergencyl,codeintst,codecolour,emenda,emenda_futura
rwydirection.fid--4f6e8018_187234ca30b_-51ca,486,486,MULTIPOINT ((0 0)),123,2017-01-05,306,17,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51c9,683,683,MULTIPOINT ((0 0)),758,2021-04-22,511,33,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51c8,1,1,MULTIPOINT ((-48.601952778000005 -20.588069444000002)),518,2017-07-20,3727,08,,,,-20.58806944,-48.60195278,WGE,,M,,,M,,,,,,579.66,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51c7,2,2,MULTIPOINT ((-48.586316667 -20.581172222000003)),519,2017-07-20,3727,26,,,,-20.58117222,-48.58631667,WGE,,M,,,M,,,,,,568.74,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51c6,3,3,MULTIPOINT ((-49.047625 -22.348666667)),521,2018-04-26,73,32,,,,-22.34866667,-49.047625,WGE,,M,,,M,,,,,,616.18,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51c5,4,4,MULTIPOINT ((0 0)),531,2012-03-08,1309,16,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51c4,5,5,MULTIPOINT ((0 0)),532,2012-03-08,1309,34,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51c3,6,6,MULTIPOINT ((0 0)),797,2016-07-21,329,30,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51c2,7,7,MULTIPOINT ((0 0)),798,2016-07-21,2438,01,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51c1,8,8,MULTIPOINT ((0 0)),799,2016-07-21,2438,19,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51c0,9,9,MULTIPOINT ((0 0)),801,2016-07-21,1809,16,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51bf,10,10,MULTIPOINT ((0 0)),802,2016-07-21,1809,34,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51be,11,11,MULTIPOINT ((0 0)),803,2016-07-21,1533,35,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51bd,12,12,MULTIPOINT ((0 0)),804,2016-07-21,5418,14,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L33,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51bc,13,13,MULTIPOINT ((0 0)),805,2016-07-21,5418,32,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L33,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51bb,15,15,MULTIPOINT ((0 0)),1023,2019-05-23,2395,01,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51ba,16,16,MULTIPOINT ((0 0)),1024,2019-05-23,2395,19,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,A,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51b9,21,21,MULTIPOINT ((-41.719455556 -2.890083333)),408,2017-07-20,125,28,,,,-2.89008333,-41.71945556,WGE,,M,,,M,,EGM_96,,,,5.48,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51b8,22,22,MULTIPOINT ((-41.519147222 -17.891922222)),409,2017-07-20,451,11,,,,-17.89192222,-41.51914722,WGE,,M,,,M,,EGM_96,,,,480.43,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51b7,23,23,MULTIPOINT ((-41.507933333 -17.892541667)),410,2017-07-20,451,29,,,,-17.89254167,-41.50793333,WGE,,M,,,M,,EGM_96,,,,456.61,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51b6,24,24,MULTIPOINT ((0 0)),413,2012-01-20,294,11,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51b5,25,25,MULTIPOINT ((0 0)),414,2012-01-20,294,29,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51b4,26,26,MULTIPOINT ((0 0)),415,2015-03-05,1743,09,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51b3,27,27,MULTIPOINT ((-48.517819444 -22.484069444)),533,2017-07-20,834,30,,,,-22.48406944,-48.51781944,WGE,,M,,,M,,,,,,539.05,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51b2,28,28,MULTIPOINT ((0 0)),535,2012-03-08,2128,09,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51b1,29,29,MULTIPOINT ((0 0)),536,2012-03-08,2128,27,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51b0,30,30,MULTIPOINT ((-49.074627778 -22.152588889)),537,2018-03-01,61,17,,,,-22.15258889,-49.07462778,WGE,,M,,,M,,,,,,587.33,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,"L9 (1) (2), 12",,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51af,31,31,MULTIPOINT ((-49.06605 -22.168886111)),538,2018-03-01,61,35,,,,-22.16888611,-49.06605,WGE,,M,,,M,,,,,,597.56,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,"L9 (1) (2), 12",,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51ae,32,32,MULTIPOINT ((-43.650277777999996 -18.232222222)),539,2012-03-08,305,03,,,,-18.23222222,-43.65027778,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51ad,33,33,MULTIPOINT ((-43.650277777999996 -18.232222222)),540,2012-03-08,305,21,,,,-18.23222222,-43.65027778,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
rwydirection.fid--4f6e8018_187234ca30b_-51ac,34,34,MULTIPOINT ((0 0)),543,2012-03-08,524,07,,,,0,0,WGE,,M,,,FT,,,,,,,,,,,,,,FT,,,,,FT,,,,,,,,,,,,,,,,,L12,,,,,,,,,,,,,,2022-12-29,2023-01-26
